(262.532,-6874.468,1581.7548),
(261.3411,-6529.88,1581.7548),
(-4507.8384,-5800.877,1581.7548),
(-4409.3604,-5630.3076,1581.7548),
(-4210.0166,-5975.58,1581.7548),
(-4408.1694,-5974.8955,1581.7548),
(884.5952,-5202.053,1081.7548),
(-4109.147,-5802.255,1581.7548),
(-78.2489,-5203.7715,1081.7548),
(-4930.8467,925.1046,2249.7273),
(-4208.8213,-5629.6143,1581.7548),
(-4932.0376,1269.6926,2249.7273),
(-4631.824,1097.7451,2249.7273),
(-4412.422,2169.6926,2249.7273),
(-4112.209,1997.7451,2249.7273),
(-3712.7815,-6104.401,1081.7548),
(460.3232,-5075.153,1581.7548),
(162.5014,-4900.4497,1581.7548),
(461.5188,-4729.187,1581.7548),
(-4411.2314,1825.1046,2249.7273),
(-3378.3513,-5974.1235,1581.7548),
(-3379.542,-5629.5356,1581.7548),
(-4411.2314,-1774.8954,2249.7273),
(-3079.329,-5801.483,1581.7548),
(-3339.9373,-2212.5671,2574.9424),
(-3317.9792,-1846.4928,2841.6455),
(-3228.5874,-1956.6027,2599.931),
(-4112.209,-1602.2549,2249.7273),
(-4412.422,-1430.3074,2249.7273),
(-4311.557,-1002.2549,1749.7274),
(-5352.1655,1798.4019,2249.7273),
(-5523.428,1898.071,2249.7273),
(-5178.147,1898.071,2249.7273),
(-5178.147,2097.4192,2249.7273),
(-5522.7354,2098.61,2249.7273),
(-5352.1655,2197.0884,2249.7273),
(-4733.1206,-5075.153,1581.7548),
(-4481.1357,-5901.929,1581.7548),
(-4480.443,-5701.39,1581.7548),
(-4135.855,-5901.929,1581.7548),
(-4309.873,-6001.598,1581.7548),
(-4731.925,-4729.187,1581.7548),
(-5030.9424,-4900.4497,1581.7548),
(362.206,-6101.8276,1081.7548),
(-4309.873,-5602.9116,1581.7548),
(-4135.855,-5702.581,1581.7548),
(-4930.8467,2725.1045,2249.7273),
(-1097.6802,-5629.187,1581.7548),
(-5030.5156,2899.1228,2249.7273),
(-1396.6976,-5800.4497,1581.7548),
(-4932.0376,3069.6926,2249.7273),
(-1098.8759,-5975.153,1581.7548),
(-4731.4985,3070.3855,2249.7273),
(-4631.824,2897.745,2249.7273),
(-4732.694,2724.42,2249.7273),
(706.9152,-5699.91,1581.7548),
(706.2222,-5900.449,1581.7548),
(877.4849,-6000.118,1581.7548),
(1051.5032,-5900.449,1581.7548),
(-2036.2568,-5801.8276,1581.7548),
(-2336.4697,-5629.88,1581.7548),
(-4311.557,2597.745,1749.7274),
(-2335.2788,-5974.468,1581.7548),
(1051.5032,-5701.101,1581.7548),
(877.4849,-5601.4316,1581.7548),
(-4731.4985,-529.6144,2249.7273),
(-3901.7205,-1668.1692,2644.94),
(-2755.5735,-6101.7085,1081.7548),
(-4932.0376,-530.3074,2249.7273),
(-4732.694,-875.5802,2249.7273),
(-3478.009,-1590.4283,2503.3489),
(-474.9024,-6702.255,1581.7548),
(-4631.824,-702.2549,2249.7273),
(-3763.6487,-2290.308,2716.5332),
(-575.7721,-6875.58,1581.7548),
(-5030.5156,-700.8771,2249.7273),
(-3914.1667,-2082.3901,2829.03),
(-773.9246,-6874.8955,1581.7548),
(-4930.8467,-874.8954,2249.7273),
(-4013.0706,-1924.1335,2619.9514),
(-873.5939,-6700.877,1581.7548),
(-3498.1475,-2260.6519,2801.213),
(-3743.5105,-1620.0844,2418.6694),
(-775.1154,-6530.3076,1581.7548),
(-3472.1306,-1620.1846,2781.9543),
(-3507.6592,-2212.5051,2350.4197),
(-574.5765,-6529.6143,1581.7548),
(-3741.691,-1924.2336,2983.2366),
(-3499.967,-1956.5024,2236.6458),
(-3484.5767,-2034.4055,2966.0444),
(-3327.4912,-1798.3461,2390.8523),
(-3733.9985,-1668.2311,2869.4624),
(1483.0009,-3905.8655,1951.9788),
(-5771.9243,924.4198,2249.7273),
(1594.3508,-3649.9011,1976.9673),
(-5671.0547,1097.7451,2249.7273),
(-3891.616,-6874.8955,1581.7548),
(1752.561,-3601.8164,1750.6967),
(-6069.746,1099.1229,2249.7273),
(-3892.807,-6530.3076,1581.7548),
(2018.0623,-3572.1604,1835.3762),
(-5970.077,925.1046,2249.7273),
(-3592.594,-6702.255,1581.7548),
(1581.9045,-4064.122,2161.0574),
(-5770.729,1270.3856,2249.7273),
(-3891.616,-5074.8955,1581.7548),
(1754.3806,-3905.9658,2315.2637),
(-5971.2676,1269.6926,2249.7273),
(-3892.807,-4730.3076,1581.7548),
(1762.0728,-3649.9631,2201.4897),
(-3592.594,-4902.255,1581.7548),
(2023.9409,-3601.9165,2113.9817),
