Actuator ID,x,y,z
'HC2,-13.22059509,3.55408345,-218.0074177
'LC1,-13.22813556,3.593756923,-218.223015
'LC2,-13.20501949,3.514747568,-218.1267817
'PSB,-13.27084481,3.711933366,-218.0324036
'SD,-13.21657752,3.554252245,-218.1748984
'HU3,-13.24371117,3.633092805,-218.103651
'OS,-12.67427353,4.177132394,-218.1635542
'LS,-12.62045398,4.184098412,-218.1309299
'LC2,-12.62045398,4.177132394,-218.0679943
'DA,-12.62045398,4.170166376,-218.0050586
'AMP2,-12.72809307,4.170166376,-218.1961786
'AMP1,-12.83573217,4.142302304,-218.1355561
'WV,-12.83573217,4.128370268,-218.0096848
'GE,-12.72809307,4.142302304,-217.9444361
'PG,-12.72809307,4.15623434,-218.0703074
'TG4,-13.03361014,3.216535309,-218.8177533
'LC1,-12.08543203,4.218153153,-219.674109
'LC2,-12.07488527,4.342164075,-219.6507054
'HC1,-12.1699463,4.404344991,-219.5947179
'HC2,-12.27555411,4.342514984,-219.5621339
'NC1,-12.28610088,4.218504061,-219.5855375
'NC2,-12.19103984,4.156323146,-219.6415251
'RPi,-12.13823594,4.187238149,-219.657817
'PSB,-12.12241578,4.373254533,-219.6227116
'HU1,-12.18049307,4.280334068,-219.6181215
'LC1,-12.41072772,3.857449764,-219.612225
'LC2,-12.5163211,3.795567822,-219.579693
'NC1,-12.40024559,3.981461825,-219.5887984
'NC2,-12.49535684,4.043591944,-219.5328398
'HC1,-12.60095023,3.981710002,-219.5003078
'HC2,-12.60430044,3.858877656,-219.5116733
'PSB,-12.54815354,4.012650973,-219.5165738
'HU2,-12.50583897,3.919579883,-219.5562664
'NC1,-12.49314078,4.436121921,-219.4450459
'NC2,-12.58787731,4.498848838,-219.3891174
'HC1,-12.69374118,4.437566412,-219.3563306
'HC2,-12.70486853,4.313557069,-219.3794723
'LC1,-12.50426813,4.312112578,-219.4681876
'LC2,-12.61013201,4.250830152,-219.4354007
'PSB,-12.64080925,4.468207625,-219.372724
'SD,-12.55720007,4.281471365,-219.4517942
'HU3,-12.59900466,4.374839495,-219.4122591
'OS,-12.21684012,4.592817295,-218.8796836
'LS,-12.16302057,4.599783313,-218.8470593
'LC2,-12.16302057,4.592817295,-218.7841237
'DA,-12.16302057,4.585851277,-218.721188
'AMP2,-12.27065967,4.585851277,-218.912308
'AMP1,-12.37829876,4.557987205,-218.8516855
'WV,-12.37829876,4.544055169,-218.7258142
'GE,-12.27065967,4.557987205,-218.6605655
'PG,-12.27065967,4.571919241,-218.7864368
'TG5,-12.05938989,3.784712645,-219.7195613
'RS-05A,-11.49810309,4.386535989,-218.7719205
'M-05A-e,-11.62599805,4.406069461,-218.8320509
'M-05B-f,-11.71722172,4.507648671,-218.7743319
'RS-05B,-11.95260491,4.575246308,-218.7222683
'M-05B-e,-11.86192376,4.503990794,-218.8062509
'M-05A'-f,-11.915398,4.398787853,-218.8959401
'M-05A'-e,-11.82417254,4.297232294,-218.9536919
'RS-05A',-11.87989397,4.176886681,-219.0062957
'M-05A-f,-11.67947739,4.300850589,-218.9217262
'RS-06B,-11.54990788,4.147089948,-218.9346386
'RS-06A,-11.24434444,4.285281367,-218.5710689
'RS-06A',-11.24732998,3.815741543,-218.7265432
'M-06A'-e,-11.2681702,3.95259525,-218.7610432
'M-06A'-f,-11.37335105,3.986023863,-218.8599896
'M-06B-e,-11.42520148,4.124588859,-218.869092
'M-06B-f,-11.37183668,4.229738397,-218.7792672
'M-06A-e,-11.26661093,4.196318828,-218.680362
'M-06A-f,-11.21479212,4.057746109,-218.6712356
'RS-07C,-11.55727095,4.670817123,-218.3000713
'RS-07D,-11.70975863,4.636014562,-217.8308324
'RS-07A,-11.28406648,4.425308483,-217.9688106
'M-07A-e,-11.37719578,4.531037928,-217.9912286
'M-07A-f,-11.39809288,4.579513777,-218.1297425
'M-07C-e,-11.51901362,4.65845391,-218.1631822
'M-07C-f,-11.61906518,4.688867943,-218.058132
'M-07D-e,-11.59817914,4.640375696,-217.9196271
'M-07D-f,-11.47723155,4.561488319,-217.8861705
'RS-08B,-11.28282388,4.474937974,-218.2572282
'RS-08A',-11.10489621,4.048383381,-218.433415
'RS-08A,-11.13340963,4.121553342,-217.9450688
'M-08A'-e,-11.1023878,4.143411818,-218.3270345
'M-08A'-f,-11.15897312,4.278376108,-218.3505636
'M-08B-e,-11.19470642,4.364840282,-218.2355912
'M-08B-f,-11.17381451,4.316348865,-218.0970819
'M-08A-e,-11.11717143,4.181405532,-218.0735567
'M-08A-f,-11.08147694,4.094930152,-218.1885297
'RS-09B,-11.07328488,3.854861622,-218.0849801
'M-09B-e,-11.10621321,3.80740839,-217.9545231
'M-09B-f,-11.14087494,3.905995979,-217.8494044
'RS-09A,-11.27868512,3.960240259,-217.6475387
'RS-09A',-11.28387449,3.495856158,-217.8177425
'M-09A-e,-11.21284377,3.8621162,-217.7274767
'M-09A-f,-11.25013085,3.719645974,-217.7106604
'M-09A'-e,-11.21550537,3.621060897,-217.8157967
'M-09A'-f,-11.14355284,3.664945802,-217.9377379
'RS-01D,-12.1604399,4.710084517,-218.1645828
'M-01D-e,-12.29293176,4.657266655,-218.1679423
'M-01D-f,-12.35132137,4.61938733,-218.2988113
'M-01A-e,-12.46895197,4.529358512,-218.3042122
'RS-01A,-12.49958565,4.463686826,-218.4271036
'M-01A-f,-12.52820356,4.477227663,-218.178743
'M-01C-e,-12.46979142,4.515073532,-218.0478718
'M-01C-f,-12.35214415,4.605088356,-218.0424716
'RS-01C,-12.50113948,4.436113296,-217.9332553
'RS-03B,-12.45292894,3.98640039,-218.8434751
'M-03B-e,-12.34134873,4.030278964,-218.9207928
'M-03A'-f,-12.25006608,3.928677697,-218.9783773
'RS-03A',-12.01604392,3.866473326,-219.0419639
'M-03A'-e,-12.11458635,3.968040772,-219.0238379
'M-03A-f,-12.07036863,4.108996643,-219.01168
'RS-03A,-12.10671403,4.333778945,-218.9076016
'M-03B-f,-12.29715753,4.171245361,-218.9086894
'M-03A-e,-12.16166187,4.210605216,-218.9541131
'RS-02A,-12.53273913,4.217475012,-218.6962671
'M-02A-e,-12.61957488,4.186271993,-218.587454
'M-02B-f,-12.62484913,4.278613503,-218.4716231
'M-02B-e,-12.68058693,4.23223848,-218.3423423
'RS-02B,-12.65034867,4.306072885,-218.224073
'M-02A'-f,-12.73110909,4.093536363,-218.3289054
'M-02A'-e,-12.72587311,4.001205572,-218.4447436
'RS-02A',-12.73756465,3.860954411,-218.4213336
'M-02A-f,-12.6700793,4.047559013,-218.5740107
'RS-04C,-12.15817043,4.668825216,-218.4682681
'RS-04D,-11.79336303,4.742417647,-218.1424637
'RS-04A,-11.68678695,4.617584029,-218.6090545
'M-04C-e,-12.02296782,4.709786661,-218.4483492
'M-04C-f,-11.97829197,4.744093034,-218.3112367
'M-04D-e,-11.83361314,4.747966397,-218.2792272
'M-04D-f,-11.73361287,4.717476749,-218.3843043
'M-04A-e,-11.77828794,4.683150899,-218.5214071
'M-04A-f,-11.92296175,4.679335947,-218.5534355
'RS-15A,-12.74278511,3.969427843,-218.1427679
'RS-15B,-12.5970328,3.626619682,-217.817364
'RS-15A',-12.64295199,3.509790509,-218.2957898
'M-15A-e,-12.74024103,3.830796544,-218.1091524
'M-15A-f,-12.73088851,3.731067838,-218.2184117
'M-15A'-f,-12.65529286,3.553110643,-218.0495046
'M-15A'-e,-12.68840386,3.592226252,-218.1885892
'M-15B-e,-12.66460606,3.652848483,-217.9402471
'M-15B-f,-12.70707178,3.791699972,-217.9700739
'RS-14B,-12.31947493,4.08682796,-217.4968239
